variant,label,family,role,split,task_id,seed,shifted,score
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,100,True,0.3683
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,100,True,0.3366
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,100,True,0.35964
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,100,True,0.31781
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,100,True,0.42696
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,100,True,0.26013000000000003
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,100,True,0.4017
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,100,True,0.3404
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,100,True,0.43616
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,100,True,0.36913999999999997
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,100,True,0.50424
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,100,True,0.33721999999999996
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,100,True,0.3715
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,100,True,0.4232
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,100,True,0.46928000000000003
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,100,True,0.39812000000000003
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,100,True,0.55392
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,100,True,0.38276
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,101,True,0.3727
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,101,True,0.3454
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,101,True,0.36316
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,101,True,0.32089
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,101,True,0.43223999999999996
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,101,True,0.26497
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,101,True,0.4028
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,101,True,0.3428
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,101,True,0.43711999999999995
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,101,True,0.36998
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,101,True,0.50568
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,101,True,0.33854
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,101,True,0.3811
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,101,True,0.4383
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,101,True,0.47532
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,101,True,0.403405
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,101,True,0.56298
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,101,True,0.391065
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,102,True,0.3794
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,102,True,0.3587
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,102,True,0.36848000000000003
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,102,True,0.325545
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,102,True,0.44022
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,102,True,0.272285
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,102,True,0.4009
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,102,True,0.3386
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,102,True,0.43544
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,102,True,0.36851
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,102,True,0.50316
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,102,True,0.33623000000000003
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,102,True,0.6055
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,102,True,0.437
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,102,True,0.73325
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,102,True,0.74755
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,102,True,0.64835
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,102,True,0.6488
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,103,False,0.6413
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,103,False,0.4619
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,103,False,0.6925142857142857
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,103,False,0.6861083333333333
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,103,False,0.6412666666666668
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,103,False,0.5772071428571428
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,103,False,0.5901
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,103,False,0.3743
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,103,False,0.642457142857143
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,103,False,0.6350083333333334
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,103,False,0.5828666666666668
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,103,False,0.5083785714285713
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,103,False,0.5919
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,103,False,0.5263
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,103,False,0.7293142857142857
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,103,False,0.723675
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,103,False,0.6842
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,103,False,0.6278071428571428
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,104,True,0.3719
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,104,True,0.3437
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,104,True,0.36248
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,104,True,0.320295
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,104,True,0.43122
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,104,True,0.264035
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,104,True,0.3891
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,104,True,0.3131
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,104,True,0.42523999999999995
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,104,True,0.359585
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,104,True,0.48785999999999996
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,104,True,0.32220499999999996
original,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,104,True,0.3545
utility_only,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,104,True,0.3964
balanced,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,104,True,0.45855999999999997
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,104,True,0.38874
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,104,True,0.53784
no_coherence,qwen3.5:2b,qwen,primary_model,core,task7_quarterly_headcount_plan,104,True,0.36802
original,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,105,True,0.3649
utility_only,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,105,True,0.3298
balanced,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,105,True,0.35692
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,105,True,0.31543
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,105,True,0.42288
no_coherence,qwen3.5:2b,qwen,primary_model,core,task3_startup_week,105,True,0.25639
original,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,105,True,0.3862
utility_only,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,105,True,0.3069
balanced,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,105,True,0.42276
adaptation_heavy,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,105,True,0.357415
adaptation_light,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,105,True,0.48414
no_coherence,qwen3.5:2b,qwen,primary_model,core,task6_incident_response_week,105,True,0.31879500000000005
