model,family,size_b,split,task_id,task_bucket,final_utility,adaptation,coherence,constraints
deepseek-r1:1.5b,deepseek-r1,1.5,core,task3_startup_week,main,0.36055000000000004,0.0,0.97797,0.575
deepseek-r1:1.5b,deepseek-r1,1.5,heldout,task3_startup_week,main,0.36119,0.0,0.9581,0.61
deepseek-r1:8b,deepseek-r1,8.0,core,task3_startup_week,main,0.36055,0.10111111111111111,0.6639999999999999,0.8049999999999999
deepseek-r1:8b,deepseek-r1,8.0,heldout,task3_startup_week,main,0.37629999999999997,0.18036666666666668,0.749,0.8300000000000001
deepseek-r1:14b,deepseek-r1,14.0,core,task3_startup_week,main,0.37538,0.09028888888888889,0.6211599999999999,0.9400000000000001
deepseek-r1:14b,deepseek-r1,14.0,heldout,task3_startup_week,main,0.37681,0.19504444444444444,0.75211,0.75
gemma4:e2b,gemma4,2.0,core,task3_startup_week,main,0.36239000000000005,0.0,0.9285399999999999,0.565
gemma4:e2b,gemma4,2.0,heldout,task3_startup_week,main,0.36615000000000003,0.0,1.0,0.61
gemma4:e4b,gemma4,4.0,core,task3_startup_week,main,0.36229,0.13203333333333334,0.58307,0.76
gemma4:e4b,gemma4,4.0,heldout,task3_startup_week,main,0.37583,0.23707777777777775,0.81271,0.8
gemma4:26b,gemma4,26.0,core,task3_startup_week,main,0.36017,0.15433333333333332,0.18691,0.97
gemma4:26b,gemma4,26.0,heldout,task3_startup_week,main,0.36812000000000006,0.0,0.30468,0.9400000000000001
gpt-oss:20b,gpt-oss,20.0,core,task3_startup_week,main,0.36724999999999997,0.09757777777777778,0.44798,0.8850000000000001
gpt-oss:20b,gpt-oss,20.0,heldout,task3_startup_week,main,0.37720000000000004,0.056577777777777775,0.3244,0.86
qwen3.5:2b,qwen,2.0,core,task3_startup_week,main,0.36018,0.0,0.9949,0.565
qwen3.5:2b,qwen,2.0,heldout,task3_startup_week,main,0.36119,0.0,1.0,0.61
qwen3.5:9b,qwen,9.0,core,task3_startup_week,main,0.3615999999999999,0.0,0.6912499999999999,0.645
qwen3.5:9b,qwen,9.0,heldout,task3_startup_week,main,0.37315000000000004,0.1982222222222222,0.73807,0.5599999999999999
qwen3.5:27b,qwen,27.0,core,task3_startup_week,main,0.37596,0.11689999999999999,0.5858649999999999,0.6849999999999999
qwen3.5:27b,qwen,27.0,heldout,task3_startup_week,main,0.36138,0.0,0.85,0.65
deepseek-r1:1.5b,deepseek-r1,1.5,core,task6_incident_response_week,main,0.33613,0.0,0.97409,1.0
deepseek-r1:1.5b,deepseek-r1,1.5,heldout,task6_incident_response_week,main,0.33625999999999995,0.0,0.9582799999999999,1.0
deepseek-r1:8b,deepseek-r1,8.0,core,task6_incident_response_week,main,0.33297000000000004,0.18963333333333335,0.7199099999999999,0.92857
deepseek-r1:8b,deepseek-r1,8.0,heldout,task6_incident_response_week,main,0.34081,0.18473333333333333,0.76888,0.8857099999999999
deepseek-r1:14b,deepseek-r1,14.0,core,task6_incident_response_week,main,0.337,0.19467777777777778,0.76864,0.94285
deepseek-r1:14b,deepseek-r1,14.0,heldout,task6_incident_response_week,main,0.34443999999999997,0.0,0.8047400000000001,0.8285600000000001
gemma4:e2b,gemma4,2.0,core,task6_incident_response_week,main,0.33494,0.0,0.95747,0.99286
gemma4:e2b,gemma4,2.0,heldout,task6_incident_response_week,main,0.3387899999999999,0.0,0.9594100000000001,1.0
gemma4:e4b,gemma4,4.0,core,task6_incident_response_week,main,0.33956,0.1811111111111111,0.7700600000000001,0.92857
gemma4:e4b,gemma4,4.0,heldout,task6_incident_response_week,main,0.34695,0.0,0.73655,0.8857200000000001
gemma4:26b,gemma4,26.0,core,task6_incident_response_week,main,0.33585,0.3514111111111111,0.44467999999999996,0.94285
gemma4:26b,gemma4,26.0,heldout,task6_incident_response_week,main,0.34358,0.0,0.59622,0.8285600000000001
gpt-oss:20b,gpt-oss,20.0,core,task6_incident_response_week,main,0.33978,0.2765666666666666,0.72077,0.8785700000000001
gpt-oss:20b,gpt-oss,20.0,heldout,task6_incident_response_week,main,0.34429,0.0,0.7740000000000001,0.8
qwen3.5:2b,qwen,2.0,core,task6_incident_response_week,main,0.33443000000000006,0.0,0.99633,0.9571400000000001
qwen3.5:2b,qwen,2.0,heldout,task6_incident_response_week,main,0.33624,0.0,0.9961800000000001,1.0
qwen3.5:9b,qwen,9.0,core,task6_incident_response_week,main,0.33731,0.1811111111111111,0.7948099999999999,0.8857200000000001
qwen3.5:9b,qwen,9.0,heldout,task6_incident_response_week,main,0.34129,0.0,0.91173,0.7142899999999999
qwen3.5:27b,qwen,27.0,core,task6_incident_response_week,main,0.346125,0.06002727272727273,0.8594899999999999,0.7857100000000001
qwen3.5:27b,qwen,27.0,heldout,task6_incident_response_week,main,0.32877,0.0,0.02679,1.0
deepseek-r1:1.5b,deepseek-r1,1.5,core,task7_quarterly_headcount_plan,main,0.42966000000000004,0.36675555555555556,1.0,1.0
deepseek-r1:1.5b,deepseek-r1,1.5,heldout,task7_quarterly_headcount_plan,main,0.43106,0.3613333333333333,1.0,1.0
deepseek-r1:8b,deepseek-r1,8.0,core,task7_quarterly_headcount_plan,main,0.41215999999999997,0.09903333333333333,0.95,1.0
deepseek-r1:8b,deepseek-r1,8.0,heldout,task7_quarterly_headcount_plan,main,0.43106,0.3613333333333333,1.0,1.0
deepseek-r1:14b,deepseek-r1,14.0,core,task7_quarterly_headcount_plan,main,0.42966000000000004,0.36675555555555556,1.0,1.0
deepseek-r1:14b,deepseek-r1,14.0,heldout,task7_quarterly_headcount_plan,main,0.43106,0.3613333333333333,1.0,1.0
gemma4:e2b,gemma4,2.0,core,task7_quarterly_headcount_plan,main,0.42928,0.10582222222222222,1.0,0.9
gemma4:e2b,gemma4,2.0,heldout,task7_quarterly_headcount_plan,main,0.43998,0.09721111111111111,1.0,1.0
gemma4:e4b,gemma4,4.0,core,task7_quarterly_headcount_plan,main,0.42817,0.28300000000000003,0.8181499999999999,1.0
gemma4:e4b,gemma4,4.0,heldout,task7_quarterly_headcount_plan,main,0.43041,0.3146222222222222,0.75,1.0
gemma4:26b,gemma4,26.0,core,task7_quarterly_headcount_plan,main,0.45591,0.0,0.8654400000000001,1.0
gemma4:26b,gemma4,26.0,heldout,task7_quarterly_headcount_plan,main,0.45948,0.0,0.8154399999999999,1.0
gpt-oss:20b,gpt-oss,20.0,core,task7_quarterly_headcount_plan,main,0.43698,0.0834,0.47942999999999997,1.0
gpt-oss:20b,gpt-oss,20.0,heldout,task7_quarterly_headcount_plan,main,0.45721,0.09685555555555554,0.82311,1.0
qwen3.5:2b,qwen,2.0,core,task7_quarterly_headcount_plan,main,0.42966000000000004,0.36675555555555556,1.0,1.0
qwen3.5:2b,qwen,2.0,heldout,task7_quarterly_headcount_plan,main,0.43106,0.3613333333333333,1.0,1.0
qwen3.5:9b,qwen,9.0,core,task7_quarterly_headcount_plan,main,0.42536000000000007,0.3758666666666667,1.0,1.0
qwen3.5:9b,qwen,9.0,heldout,task7_quarterly_headcount_plan,main,0.43106,0.3613333333333333,1.0,1.0
qwen3.5:27b,qwen,27.0,core,task7_quarterly_headcount_plan,main,0.4552299999999999,0.2810727272727273,0.79083,1.0
qwen3.5:27b,qwen,27.0,heldout,task7_quarterly_headcount_plan,main,0.43193000000000004,0.36288888888888887,0.96667,1.0
