model,family,size_b,provider_mode,provenance,core,heldout,heldout_gap
deepseek-r1:1.5b,deepseek-r1,1.5,ollama_local,empirical_strengthening_family_expansion,0.43043000000000003,0.4300466666666667,-0.0003833333333333466
deepseek-r1:8b,deepseek-r1,8.0,ollama_local,clean_rerun,0.40485,0.4462733333333333,0.04142333333333331
deepseek-r1:14b,deepseek-r1,14.0,ollama_local,clean_rerun,0.43943666666666664,0.4292066666666667,-0.010229999999999961
gemma4:e2b,gemma4,2.0,ollama_local,empirical_strengthening_family_expansion,0.40442999999999996,0.41463,0.010200000000000042
gemma4:e4b,gemma4,4.0,ollama_local,post_cleanup_family_run,0.42066333333333333,0.42763333333333337,0.006970000000000032
gemma4:26b,gemma4,26.0,ollama_local,post_cleanup_family_run,0.3952466666666667,0.3609866666666666,-0.03426000000000007
gpt-oss:20b,gpt-oss,20.0,ollama_local,post_cleanup_family_run,0.39982,0.3792,-0.020620000000000027
qwen3.5:2b,qwen,2.0,ollama_local,clean_rerun,0.42993333333333333,0.43381000000000003,0.003876666666666695
qwen3.5:9b,qwen,9.0,ollama_local,clean_rerun,0.42172333333333334,0.4212666666666667,-0.0004566666666666608
qwen3.5:27b,qwen,27.0,ollama_local,empirical_strengthening_core_topup,0.44299999999999995,0.3846466666666667,-0.05835333333333326
