model,family,size_b,provider_mode,provenance,split,task_id,task_bucket,episode_count,shifted_episode_count,no_shift_episode_count,adaptation_scored_episode_count,zero_adaptation_episode_rate,nonzero_adaptation_episode_rate,mean_adaptation_score,mean_detection_delay_steps,mean_post_shift_recovery,mean_post_shift_regret,mean_coherence_score,mean_constraint_score,mean_final_utility_score
deepseek-r1:1.5b,deepseek-r1,1.5,ollama_local,empirical_strengthening_family_expansion,core,task3_startup_week,main,10,9,1,9,1.0,0.0,0.0,6.111111111111111,0.0,0.9978333333333332,0.97797,0.575,0.36055000000000004
deepseek-r1:1.5b,deepseek-r1,1.5,ollama_local,empirical_strengthening_family_expansion,heldout,task3_startup_week,main,10,9,1,9,1.0,0.0,0.0,6.111111111111111,0.0,0.9924,0.9581,0.61,0.36119
deepseek-r1:8b,deepseek-r1,8.0,ollama_local,clean_rerun,core,task3_startup_week,main,10,9,1,9,0.8888888888888888,0.1111111111111111,0.10111111111111111,5.555555555555555,0.08888888888888889,0.5486888888888889,0.6639999999999999,0.8049999999999999,0.36055
deepseek-r1:8b,deepseek-r1,8.0,ollama_local,clean_rerun,heldout,task3_startup_week,main,10,9,1,9,0.7777777777777778,0.2222222222222222,0.18036666666666668,5.0,0.15637777777777778,0.5229222222222222,0.749,0.8300000000000001,0.37629999999999997
deepseek-r1:14b,deepseek-r1,14.0,ollama_local,clean_rerun,core,task3_startup_week,main,10,9,1,9,0.8888888888888888,0.1111111111111111,0.09028888888888889,5.555555555555555,0.06484444444444444,0.6526333333333334,0.6211599999999999,0.9400000000000001,0.37538
deepseek-r1:14b,deepseek-r1,14.0,ollama_local,clean_rerun,heldout,task3_startup_week,main,10,9,1,9,0.6666666666666666,0.3333333333333333,0.19504444444444444,4.555555555555555,0.10298888888888888,0.7107222222222223,0.75211,0.75,0.37681
gemma4:e2b,gemma4,2.0,ollama_local,empirical_strengthening_family_expansion,core,task3_startup_week,main,10,9,1,9,1.0,0.0,0.0,6.111111111111111,0.0,0.9650444444444446,0.9285399999999999,0.565,0.36239000000000005
gemma4:e2b,gemma4,2.0,ollama_local,empirical_strengthening_family_expansion,heldout,task3_startup_week,main,10,9,1,9,1.0,0.0,0.0,6.111111111111111,0.0,0.9872555555555557,1.0,0.61,0.36615000000000003
gemma4:e4b,gemma4,4.0,ollama_local,post_cleanup_family_run,core,task3_startup_week,main,10,9,1,9,0.7777777777777778,0.2222222222222222,0.13203333333333334,5.111111111111111,0.06705555555555556,0.6407999999999999,0.58307,0.76,0.36229
gemma4:e4b,gemma4,4.0,ollama_local,post_cleanup_family_run,heldout,task3_startup_week,main,10,9,1,9,0.6666666666666666,0.3333333333333333,0.23707777777777775,4.222222222222222,0.13884444444444444,0.6088555555555555,0.81271,0.8,0.37583
gemma4:26b,gemma4,26.0,ollama_local,post_cleanup_family_run,core,task3_startup_week,main,20,18,2,18,0.7777777777777778,0.2222222222222222,0.16081666666666666,5.388888888888889,0.18082777777777778,0.7223222222222222,0.21063,0.9424999999999999,0.360285
gemma4:26b,gemma4,26.0,ollama_local,post_cleanup_family_run,heldout,task3_startup_week,main,20,18,2,18,1.0,0.0,0.0,6.111111111111111,0.0,0.7228722222222221,0.303145,0.9425000000000001,0.36819
gpt-oss:20b,gpt-oss,20.0,ollama_local,post_cleanup_family_run,core,task3_startup_week,main,10,9,1,9,0.7777777777777778,0.2222222222222222,0.09757777777777778,5.777777777777778,0.1353666666666667,0.6040666666666668,0.44798,0.8850000000000001,0.36724999999999997
gpt-oss:20b,gpt-oss,20.0,ollama_local,post_cleanup_family_run,heldout,task3_startup_week,main,10,9,1,9,0.8888888888888888,0.1111111111111111,0.056577777777777775,5.777777777777778,0.04424444444444445,0.6122444444444445,0.3244,0.86,0.37720000000000004
qwen3.5:2b,qwen,2.0,ollama_local,clean_rerun,core,task3_startup_week,main,10,9,1,9,1.0,0.0,0.0,6.111111111111111,0.0,0.9978333333333332,0.9949,0.565,0.36018
qwen3.5:2b,qwen,2.0,ollama_local,clean_rerun,heldout,task3_startup_week,main,10,9,1,9,1.0,0.0,0.0,6.111111111111111,0.0,0.9924,1.0,0.61,0.36119
qwen3.5:9b,qwen,9.0,ollama_local,clean_rerun,core,task3_startup_week,main,10,9,1,9,1.0,0.0,0.0,6.111111111111111,0.0,0.8442444444444445,0.6912499999999999,0.645,0.3615999999999999
qwen3.5:9b,qwen,9.0,ollama_local,clean_rerun,heldout,task3_startup_week,main,10,9,1,9,0.6666666666666666,0.3333333333333333,0.1982222222222222,4.333333333333333,0.07963333333333333,0.8612888888888889,0.73807,0.5599999999999999,0.37315000000000004
qwen3.5:27b,qwen,27.0,ollama_local,empirical_strengthening_core_topup,core,task3_startup_week,main,20,11,9,11,0.8181818181818182,0.18181818181818182,0.11689999999999999,5.0,0.10106363636363636,0.7102818181818182,0.5858649999999999,0.6849999999999999,0.37596
qwen3.5:27b,qwen,27.0,ollama_local,empirical_strengthening_core_topup,heldout,task3_startup_week,main,10,9,1,9,1.0,0.0,0.0,6.111111111111111,0.0,0.9885555555555556,0.85,0.65,0.36138
